Code,Name,ID,District,D-Pres Vote,R-Pres Vote,TP-Pres Vote,D-Dist Vote,R-Dist Vote,Contested,AREA,POPULATION,IDEAL_VALU,DEVIATION,F_DEVIATIO,sumTOTALPOP,sumWHITE,sumBLACK,sumNATIVE,sumASIAN,sumPACISLAND,sumOTHER,sumTWO_PLUS,sumHISPANIC,sumNATALNCOMB,sumMALE,sumFEMALE,sumGRPQTRS,sumHOUSEUNITS,sumVACANT,sumOCCUPIED,sumOWNED,sumRENTED,count,County,Incumbent D,Incumbent R,Winner,Reg. Voters,Reg. D-Voters,Reg. R-Voters,Reg. N-Voters,Reg. U-Voters,pr_D-Pres,pr_R-Pres,pr_TP=Pres,pr_White,pr_Native,pop_dens
35-730, Kake,220,35,77,67,38,128,50,B,3498.27,561,1622,-1061,-0.6541,561,95,1,385,0,1,7,72,10,453,304,257,0,308,94,214,149,65,398,Petersburg Census Area,1,0,D,393,87,55,54,166,0.423076923,0.368131868,0.208791209,0.169340463,0.68627451,0.16036498
35-745, North Prince of Wales,223,35,24,53,18,32,55,B,1514.1,490,1622,-1132,-0.6979,490,438,1,24,1,3,0,23,8,38,297,193,0,462,216,246,200,46,347,Prince of Wales-Hyder Census Area,1,0,D,536,57,167,102,179,0.252631579,0.557894737,0.189473684,0.893877551,0.048979592,0.323624595
35-775, Tenakee Springs,228,35,22,24,14,42,17,B,475.1,133,1622,-1489,-0.918,133,126,1,1,1,0,0,4,2,5,69,64,0,182,109,73,60,13,67,Hoonah-Angoon Census Area,1,0,D,160,33,25,32,62,0.366666667,0.4,0.233333333,0.947368421,0.007518797,0.279941065
35-735, Kasaan,221,35,4,7,9,15,7,B,41.48,49,1622,-1573,-0.9698,49,26,0,17,1,0,0,5,0,22,29,20,0,48,25,23,15,8,25,Prince of Wales-Hyder Census Area,1,0,D,60,8,13,4,33,0.2,0.35,0.45,0.530612245,0.346938776,1.181292189
35-760, Port Alexander,225,35,9,16,2,19,6,B,14.94,52,1622,-1570,-0.9679,52,47,0,2,2,0,0,1,1,3,29,23,0,64,42,22,13,9,35,Petersburg Census Area,1,0,D,80,11,6,22,38,0.333333333,0.592592593,0.074074074,0.903846154,0.038461538,3.480589023
35-770,Sitka No. 2,227,35,674,516,131,882,463,B,8.04,4428,1622,2806,1.73,4229,2792,28,648,332,7,42,380,209,943,2065,2164,163,1981,248,1733,954,779,163,Sitka City and Borough,1,0,D,3623,787,641,689,1354,0.510219531,0.390613172,0.099167298,0.660203358,0.153227713,550.7462687
35-700, Angoon,217,35,110,27,33,151,24,B,2730.89,463,1622,-1159,-0.7146,463,49,4,348,0,0,2,60,36,408,266,197,0,288,120,168,86,82,236,Hoonah-Angoon Census Area,1,0,D,332,115,44,65,91,0.647058824,0.158823529,0.194117647,0.105831533,0.75161987,0.169541798
35-765,Sitka No. 1,226,35,587,630,148,819,568,B,4779.33,4453,1622,2831,1.7454,4652,3006,19,845,197,23,71,491,228,1241,2416,2236,92,2121,309,1812,1096,716,1163,Sitka City and Borough,1,0,D,3601,667,695,607,1462,0.43003663,0.461538462,0.108424908,0.646173689,0.181642304,0.931720555
35-720, Hoonah,219,35,122,131,43,199,98,B,873.97,801,1622,-821,-0.5062,801,272,3,409,4,0,1,112,24,519,425,376,0,443,121,322,193,129,115,Hoonah-Angoon Census Area,1,0,D,696,139,117,112,271,0.412162162,0.442567568,0.14527027,0.339575531,0.510611735,0.916507432
36-620,Ketchikan No. 3,259,36,155,394,85,NA,307,R,2.26,2151,1622,529,0.3261,2151,1471,10,273,159,8,16,214,72,444,1095,1056,0,909,49,860,479,381,35,Ketchikan Gateway Borough,1,0,I,1598,166,440,243,665,0.244479495,0.621451104,0.134069401,0.683867968,0.126917713,951.7699115
36-610,Ketchikan No. 2,258,36,348,435,114,NA,352,R,1.04,3058,1622,1436,0.8853,3058,1738,27,414,550,14,17,298,149,636,1536,1522,68,1428,215,1213,695,518,66,Ketchikan Gateway Borough,1,0,I,2299,307,541,375,975,0.387959866,0.484949833,0.127090301,0.568345324,0.135382603,2940.384615
36-670, South Tongass,263,36,193,391,56,NA,297,R,5200.06,2068,1622,446,0.275,2100,1676,4,190,42,1,18,169,78,323,1091,1009,37,1022,218,804,537,267,450,Ketchikan Gateway Borough,1,0,I,1719,192,532,269,647,0.3015625,0.6109375,0.0875,0.798095238,0.09047619,0.397687719
36-640,North Tongass No. 1,260,36,86,268,34,NA,190,R,59.82,1062,1622,-560,-0.3453,1062,915,1,53,8,1,14,70,44,104,553,509,8,471,49,422,285,137,65,Ketchikan Gateway Borough,1,0,I,891,91,310,141,308,0.221649485,0.690721649,0.087628866,0.861581921,0.049905838,17.75325978
36-690, Wrangell,265,36,177,512,58,NA,423,R,3445.43,2369,1622,747,0.4605,2369,1719,4,384,33,1,5,223,37,582,1242,1127,19,1428,375,1053,699,354,427,Wrangell City and Borough,1,0,I,1742,135,531,391,615,0.236947791,0.6854083,0.077643909,0.725622626,0.16209371,0.687577458
36-650,North Tongass No. 2,261,36,183,525,73,NA,370,R,1560.74,1973,1622,351,0.2164,1973,1683,7,116,23,3,3,138,51,227,1028,945,0,904,156,748,558,190,229,Ketchikan Gateway Borough,1,0,I,1712,146,544,304,646,0.234314981,0.672215109,0.09346991,0.853015712,0.058793715,1.264143932
36-660, Saxman,262,36,53,42,24,NA,45,R,0.97,411,1622,-1211,-0.7466,411,125,3,208,2,0,4,69,17,276,233,178,40,128,8,120,81,39,12,Ketchikan Gateway Borough,1,0,I,274,34,50,34,144,0.445378151,0.352941176,0.201680672,0.304136253,0.506082725,423.7113402
36-600,Ketchikan No. 1,257,36,277,299,98,NA,240,R,2.57,2841,1622,1219,0.7515,2809,1647,26,657,159,1,23,296,129,896,1426,1383,93,1394,208,1186,475,711,76,Ketchikan Gateway Borough,1,0,I,2031,309,400,318,884,0.410979228,0.443620178,0.145400593,0.586329655,0.233891064,1105.447471
36-675, Hydaburg,230,36,66,14,9,NA,11,R,3817.09,481,1622,-1141,-0.7035,481,141,3,293,0,1,4,39,12,330,288,193,33,214,53,161,117,44,519,Prince of Wales-Hyder Census Area,1,0,I,284,97,25,28,117,0.741573034,0.157303371,0.101123596,0.293139293,0.609147609,0.126012224
36-680, Metlakatla,231,36,237,162,79,NA,83,R,214.3,1460,1622,-162,-0.0999,1460,145,6,1210,2,10,3,84,26,1294,761,699,0,544,35,509,337,172,153,Ketchikan Gateway Borough,1,0,I,964,172,137,124,471,0.4958159,0.338912134,0.165271967,0.099315068,0.828767123,6.812879141
37-750, St. George Island,399,37,12,5,0,10,6,B,181.42,102,1622,-1520,-0.9371,102,10,0,90,0,0,0,2,1,92,59,43,4,61,19,42,22,20,30,Aleutians West Census Area,1,0,D,57,10,10,12,24,0.705882353,0.294117647,0,0.098039216,0.882352941,0.562231287
37-700, Akutan,381,37,46,16,8,45,23,B,1084.14,1027,1622,-595,-0.3668,1027,239,184,56,445,15,40,48,214,76,790,237,937,49,9,40,13,27,105,Aleutians East Borough,1,0,D,568,87,51,44,374,0.657142857,0.228571429,0.114285714,0.23271665,0.054527751,0.94729463
37-754, Togiak,355,37,97,56,31,118,67,B,4857.73,892,1622,-730,-0.4501,892,48,2,707,0,1,2,132,15,839,465,427,0,452,191,261,176,85,249,Dillingham Census Area,1,0,D,586,88,74,58,309,0.527173913,0.304347826,0.168478261,0.053811659,0.792600897,0.183624862
37-726,Lake Iliamna No. 1,389,37,38,42,12,47,47,B,341.81,299,1622,-1323,-0.8157,299,50,1,211,0,0,0,37,9,246,143,156,0,112,23,89,58,31,62,Kodiak Island Borough,1,0,D,217,34,42,33,94,0.413043478,0.456521739,0.130434783,0.16722408,0.705685619,0.874754981
37-744, Sand Point,397,37,43,82,19,63,75,B,5457.26,1033,1622,-589,-0.3631,1033,182,24,420,340,2,13,52,61,457,641,392,350,332,61,271,163,108,465,Aleutians East Borough,1,0,D,480,37,85,67,275,0.298611111,0.569444444,0.131944444,0.176185866,0.406582769,0.18928913
37-736, New Stuyahok,393,37,111,16,28,121,38,B,1609.8,510,1622,-1112,-0.6856,510,18,0,477,0,1,0,14,6,491,281,229,0,138,24,114,76,38,29,Dillingham Census Area,1,0,D,298,87,18,27,144,0.716129032,0.103225806,0.180645161,0.035294118,0.935294118,0.316809542
37-734, Naknek,392,37,65,82,20,116,41,B,347.25,544,1622,-1078,-0.6646,544,242,0,165,2,2,2,131,14,283,284,260,0,492,261,231,137,94,59,Bristol Bay Borough,1,0,D,410,43,84,82,184,0.389221557,0.491017964,0.119760479,0.444852941,0.303308824,1.566594672
37-718, Ekwok,352,37,18,16,2,29,7,B,495.73,115,1622,-1507,-0.9291,115,6,0,104,0,0,0,5,3,109,61,54,0,61,24,37,28,9,47,Dillingham Census Area,1,0,D,82,22,8,10,38,0.5,0.444444444,0.055555556,0.052173913,0.904347826,0.231981119
37-306, McGrath,379,37,29,45,13,35,48,B,13972.26,370,1622,-1252,-0.7719,374,161,0,135,2,3,1,72,9,203,196,178,0,350,189,161,99,62,201,Yukon-Koyukuk Census Area,1,0,D,264,24,71,42,119,0.333333333,0.517241379,0.149425287,0.430481283,0.360962567,0.026481042
37-722, King Salmon,387,37,25,91,11,76,44,B,243.86,374,1622,-1248,-0.7694,374,229,0,104,5,1,2,33,10,132,210,164,16,345,188,157,61,96,85,Bristol Bay Borough,1,0,D,363,47,98,67,138,0.196850394,0.716535433,0.086614173,0.612299465,0.278074866,1.533666858
37-308, Nikolai,380,37,20,12,6,18,18,B,4.85,94,1622,-1528,-0.942,94,7,0,76,0,0,0,11,0,87,63,31,0,48,11,37,19,18,25,Yukon-Koyukuk Census Area,1,0,D,73,8,15,17,23,0.526315789,0.315789474,0.157894737,0.074468085,0.808510638,19.3814433
37-720, King Cove,386,37,31,82,12,55,64,B,4292.78,938,1622,-684,-0.4217,938,152,9,360,342,2,30,43,105,384,577,361,438,237,56,181,96,85,185,Aleutians East Borough,1,0,D,339,23,50,45,202,0.248,0.656,0.096,0.162046908,0.383795309,0.218506422
37-740, Pedro Bay,395,37,2,11,6,8,10,B,416.8,44,1622,-1578,-0.9729,44,13,0,29,0,0,0,2,0,31,20,24,0,59,39,20,10,10,38,Lake and Peninsula Borough,1,0,D,54,3,14,10,25,0.105263158,0.578947368,0.315789474,0.295454545,0.659090909,0.105566219
37-748, South Naknek,398,37,9,7,4,10,9,B,291.74,79,1622,-1543,-0.9513,79,10,0,65,1,0,0,3,0,66,46,33,0,132,97,35,22,13,34,Bristol Bay Borough,1,0,D,50,6,10,9,21,0.45,0.35,0.2,0.126582278,0.82278481,0.270789059
37-706,Aleutians No. 2,349,37,380,233,55,344,315,B,2327.74,4376,1622,2754,1.6979,4376,1715,300,268,1428,96,324,245,666,355,2995,1381,2099,1106,179,927,227,700,359,Aleutians West Census Area,1,0,D,1985,460,354,280,800,0.568862275,0.348802395,0.082335329,0.39191042,0.061243144,1.879935044
37-746, Sleetmute,354,37,24,4,3,19,11,B,12407.94,213,1622,-1409,-0.8687,213,33,0,164,1,0,0,15,1,179,117,96,0,204,114,90,53,37,149,Bethel Census Area,1,0,D,118,14,37,25,33,0.774193548,0.129032258,0.096774194,0.154929577,0.769953052,0.017166427
37-300, Anvik,344,37,22,5,5,18,15,B,13.05,85,1622,-1537,-0.9476,85,3,0,79,0,0,0,3,0,82,46,39,0,46,13,33,23,10,22,Yukon-Koyukuk Census Area,1,0,D,57,9,8,8,29,0.6875,0.15625,0.15625,0.035294118,0.929411765,6.513409962
37-310, Shageluk,346,37,15,1,0,8,8,B,2578.19,83,1622,-1539,-0.9488,83,3,0,75,0,0,0,5,0,80,42,41,0,66,30,36,20,16,72,Yukon-Koyukuk Census Area,1,0,D,49,18,9,6,12,0.9375,0.0625,0,0.036144578,0.903614458,0.032193128
37-738, Nondalton,394,37,45,8,11,41,27,B,6148.09,333,1622,-1289,-0.7947,333,139,7,140,2,0,0,45,16,181,171,162,0,280,174,106,57,49,75,Lake and Peninsula Borough,1,0,D,297,37,90,47,101,0.703125,0.125,0.171875,0.417417417,0.42042042,0.054163163
37-708, Chignik,383,37,8,12,3,10,15,B,5691.9,362,1622,-1260,-0.7768,362,52,0,285,4,0,4,17,7,301,196,166,0,287,150,137,97,40,224,Lake and Peninsula Borough,1,0,D,219,46,39,28,92,0.347826087,0.52173913,0.130434783,0.143646409,0.787292818,0.06359915
37-712, Cold Bay,384,37,1,18,4,2,20,B,4107.02,143,1622,-1479,-0.9118,143,87,2,40,3,0,1,10,5,47,85,58,1,129,68,61,13,48,349,Aleutians East Borough,1,0,D,102,5,25,20,44,0.043478261,0.782608696,0.173913043,0.608391608,0.27972028,0.034818433
37-752, St. Paul Island,400,37,86,13,5,68,41,B,293.99,479,1622,-1143,-0.7047,479,53,2,394,3,1,3,23,17,417,254,225,24,190,28,162,91,71,61,Aleutians West Census Area,1,0,D,297,71,31,42,127,0.826923077,0.125,0.048076923,0.110647182,0.822546973,1.629307119
37-742, Port Heiden,396,37,7,19,7,18,14,B,3075.91,102,1622,-1520,-0.9371,102,15,0,85,0,0,0,2,0,87,57,45,0,60,25,35,22,13,65,Lake and Peninsula Borough,1,0,D,83,10,18,14,39,0.212121212,0.575757576,0.212121212,0.147058824,0.833333333,0.033160918
37-704,Aleutians No. 1,348,37,15,9,0,18,9,B,11256.86,604,1622,-1018,-0.6276,604,226,30,105,175,6,21,41,42,136,415,189,416,572,491,81,51,30,751,Aleutians West Census Area,1,0,D,202,36,53,26,76,0.625,0.375,0,0.374172185,0.17384106,0.053656171
37-312, Takotna,347,37,1,6,3,2,8,B,8008.34,54,1622,-1568,-0.9667,50,25,0,11,0,0,0,14,3,24,28,22,1,87,67,20,10,10,141,Yukon-Koyukuk Census Area,1,0,D,35,3,11,6,13,0.1,0.6,0.3,0.5,0.22,0.00674297
37-702, Aleknagik,382,37,23,27,4,47,11,B,7071.4,223,1622,-1399,-0.8625,223,35,0,167,0,0,0,21,0,187,131,92,0,234,160,74,52,22,71,Dillingham Census Area,1,0,D,140,31,13,18,68,0.425925926,0.5,0.074074074,0.156950673,0.748878924,0.031535481
37-728,Lake Iliamna No. 2,390,37,22,10,23,15,38,B,2667.46,226,1622,-1396,-0.8607,226,33,0,158,0,0,1,34,9,191,109,117,0,139,68,71,46,25,78,Kodiak Island Borough,1,0,D,161,20,23,36,70,0.4,0.181818182,0.418181818,0.146017699,0.699115044,0.084724794
37-716, Egegik,385,37,1,6,3,7,3,B,9117.5,189,1622,-1433,-0.8835,189,66,0,95,0,5,1,22,2,117,121,68,37,403,340,63,46,17,229,Lake and Peninsula Borough,1,0,D,118,14,18,37,40,0.1,0.6,0.3,0.349206349,0.502645503,0.020729367
37-714, Dillingham,351,37,371,251,71,479,219,B,1186.06,2390,1622,768,0.4735,2390,740,9,1334,32,4,9,262,76,1584,1231,1159,52,1119,244,875,455,420,129,Dillingham Census Area,1,0,D,1575,319,238,225,724,0.535353535,0.362193362,0.102453102,0.309623431,0.558158996,2.015075123
37-724, Koliganek,388,37,8,12,3,19,4,B,4042.48,209,1622,-1413,-0.8711,209,7,0,200,0,0,0,2,0,202,109,100,0,78,23,55,35,20,24,Dillingham Census Area,1,0,D,128,24,20,13,64,0.347826087,0.52173913,0.130434783,0.033492823,0.956937799,0.051700936
37-732, Manokotak,353,37,60,45,16,80,45,B,206.89,442,1622,-1180,-0.7275,442,16,0,423,0,0,1,2,1,425,230,212,0,138,17,121,94,27,52,Dillingham Census Area,1,0,D,271,69,32,35,110,0.495867769,0.371900826,0.132231405,0.036199095,0.957013575,2.136400986
37-710, Clark's Point,350,37,11,3,0,11,4,B,1329.47,66,1622,-1556,-0.9593,66,8,0,58,0,0,0,0,0,58,33,33,0,207,181,26,18,8,214,Dillingham Census Area,1,0,D,39,11,5,7,12,0.785714286,0.214285714,0,0.121212121,0.878787879,0.049643843
37-304, Holy Cross,378,37,47,12,7,36,28,B,1498.68,178,1622,-1444,-0.8903,178,8,0,163,0,0,0,7,0,170,92,86,0,99,35,64,48,16,83,Yukon-Koyukuk Census Area,1,0,D,127,41,12,20,43,0.712121212,0.181818182,0.106060606,0.04494382,0.915730337,0.118771185
37-730, Levelock,391,37,15,5,11,27,8,B,5291.16,76,1622,-1546,-0.9531,76,12,1,58,0,0,0,5,0,63,42,34,0,162,130,32,15,17,66,Lake and Peninsula Borough,1,0,D,51,7,5,10,27,0.483870968,0.161290323,0.35483871,0.157894737,0.763157895,0.01436358
37-302, Grayling,345,37,25,14,14,16,38,B,4532.33,194,1622,-1428,-0.8804,194,13,0,169,0,0,0,12,0,181,99,95,0,73,18,55,36,19,61,Yukon-Koyukuk Census Area,1,0,D,121,20,18,14,56,0.471698113,0.264150943,0.264150943,0.067010309,0.871134021,0.042803591
38-800, Akiachak,356,38,52,28,26,87,NA,D,147.79,627,1622,-995,-0.6134,627,22,1,596,1,0,0,7,1,603,304,323,0,226,76,150,88,62,45,Bethel Census Area,0,0,D,310,72,30,68,115,0.490566038,0.264150943,0.245283019,0.035087719,0.950558214,4.242506259
38-854, Tuluksak,418,38,49,11,20,84,NA,D,901.85,373,1622,-1249,-0.77,373,15,1,354,0,0,0,3,0,357,200,173,0,107,15,92,63,29,88,Bethel Census Area,0,0,D,222,74,26,23,73,0.6125,0.1375,0.25,0.040214477,0.949061662,0.413594278
38-860, Upper Kalskag,421,38,24,21,9,46,NA,D,853.15,210,1622,-1412,-0.8705,210,14,1,171,0,0,1,23,0,193,108,102,0,75,15,60,37,23,47,Bethel Census Area,0,0,D,132,19,33,22,45,0.444444444,0.388888889,0.166666667,0.066666667,0.814285714,0.246146633
38-822, Kasigluk,361,38,55,10,9,70,NA,D,4477.52,569,1622,-1053,-0.6492,569,19,0,539,0,0,0,11,1,550,302,267,0,125,12,113,66,47,69,Bethel Census Area,0,0,D,269,104,21,28,107,0.743243243,0.135135135,0.121621622,0.033391916,0.947275923,0.127079276
38-836, Mekoryuk,411,38,43,14,21,64,NA,D,3064.13,191,1622,-1431,-0.8822,191,6,0,178,0,0,0,7,0,185,108,83,0,91,21,70,35,35,105,Bethel Census Area,0,0,D,151,26,26,39,57,0.551282051,0.179487179,0.269230769,0.031413613,0.931937173,0.06233417
38-840, Napaskiak,364,38,52,13,17,81,NA,D,22.77,405,1622,-1217,-0.7503,405,12,0,391,0,0,0,2,0,393,208,197,0,157,63,94,75,19,37,Bethel Census Area,0,0,D,246,77,19,26,113,0.634146341,0.158536585,0.207317073,0.02962963,0.965432099,17.78656126
38-808,Bethel No. 1,403,38,320,174,72,508,NA,D,24.34,3472,1622,1850,1.1406,3472,663,19,2428,95,2,13,252,58,2645,1773,1699,38,1361,255,1106,456,650,58,Bethel Census Area,0,0,D,1910,425,227,254,899,0.565371025,0.307420495,0.127208481,0.190956221,0.699308756,142.6458505
38-824, Kipnuk,407,38,72,24,27,133,NA,D,509,639,1622,-983,-0.606,639,13,0,624,0,0,0,2,0,626,333,306,0,176,23,153,123,30,53,Bethel Census Area,0,0,D,380,132,15,42,167,0.585365854,0.195121951,0.219512195,0.020344288,0.976525822,1.25540275
38-816, Crooked Creek,359,38,20,2,3,20,NA,D,619.2,114,1622,-1508,-0.9297,114,11,0,94,0,0,0,9,0,103,62,52,8,46,8,38,26,12,27,Bethel Census Area,0,0,D,76,11,12,8,41,0.8,0.08,0.12,0.096491228,0.824561404,0.184108527
38-814, Chuathbaluk,405,38,9,6,6,22,NA,D,5.16,118,1622,-1504,-0.9273,118,4,2,104,0,0,0,8,3,112,57,61,0,41,5,36,15,21,21,Bethel Census Area,0,0,D,63,9,9,13,28,0.428571429,0.285714286,0.285714286,0.033898305,0.881355932,22.86821705
38-858, Tununak,420,38,73,9,26,100,NA,D,151.82,327,1622,-1295,-0.7984,327,13,0,309,0,0,0,5,0,314,192,135,0,90,6,84,64,20,23,Bethel Census Area,0,0,D,236,76,22,42,76,0.675925926,0.083333333,0.240740741,0.039755352,0.944954128,2.153866421
38-802, Akiak,401,38,46,15,29,89,NA,D,1466.8,346,1622,-1276,-0.7867,346,18,0,321,0,0,0,7,1,328,169,177,0,111,21,90,69,21,54,Bethel Census Area,0,0,D,198,48,13,43,83,0.511111111,0.166666667,0.322222222,0.052023121,0.927745665,0.235887647
38-848, Quinhagak,416,38,74,35,24,122,NA,D,2098.74,669,1622,-953,-0.5875,669,15,0,625,0,3,1,25,3,650,347,322,0,187,22,165,134,31,88,Bethel Census Area,0,0,D,424,136,44,41,167,0.556390977,0.263157895,0.180451128,0.022421525,0.934230194,0.318762686
38-832, Lower Kalskag,410,38,42,4,28,69,NA,D,1.71,282,1622,-1340,-0.8261,282,7,1,260,0,0,0,14,0,274,137,145,0,82,7,75,53,22,30,Bethel Census Area,0,0,D,170,55,23,27,45,0.567567568,0.054054054,0.378378378,0.024822695,0.921985816,164.9122807
38-844, Nightmute,414,38,46,5,22,69,NA,D,573.53,280,1622,-1342,-0.8274,280,14,0,265,0,0,0,1,7,266,147,133,0,61,2,59,45,14,10,Bethel Census Area,0,0,D,133,37,13,22,49,0.630136986,0.068493151,0.301369863,0.05,0.946428571,0.488204627
38-826, Kongiganak,408,38,36,31,11,83,NA,D,116.34,439,1622,-1183,-0.7293,439,9,0,420,0,0,0,10,8,430,237,202,0,102,8,94,43,51,23,Bethel Census Area,0,0,D,270,93,19,24,109,0.461538462,0.397435897,0.141025641,0.020501139,0.956719818,3.773422726
38-846, Nunapitchuk,415,38,54,20,24,93,NA,D,8.41,496,1622,-1126,-0.6942,496,12,0,475,0,0,0,9,0,484,266,230,0,132,8,124,77,47,49,Bethel Census Area,0,0,D,249,75,28,38,95,0.551020408,0.204081633,0.244897959,0.024193548,0.95766129,58.97740785
38-818, Eek,360,38,50,23,8,78,NA,D,5403.05,296,1622,-1326,-0.8175,296,7,0,289,0,0,0,0,3,289,157,139,0,157,66,91,65,26,90,Bethel Census Area,0,0,D,199,45,24,35,81,0.617283951,0.283950617,0.098765432,0.023648649,0.976351351,0.054783872
38-828, Kwethluk,362,38,93,15,34,130,NA,D,18.01,723,1622,-899,-0.5543,723,16,0,681,1,0,0,25,0,705,377,346,0,240,67,173,126,47,66,Bethel Census Area,0,0,D,376,99,21,69,169,0.654929577,0.105633803,0.23943662,0.022130014,0.941908714,40.14436424
38-852, Toksook Bay,417,38,119,25,63,201,NA,D,73.43,590,1622,-1032,-0.6363,590,26,2,543,1,0,6,12,6,555,315,275,0,135,10,125,79,46,32,Bethel Census Area,0,0,D,396,136,58,43,137,0.574879227,0.120772947,0.304347826,0.044067797,0.920338983,8.034863135
38-812, Chefornak,358,38,66,10,66,142,NA,D,1616.93,418,1622,-1204,-0.7423,418,14,1,400,0,0,0,3,0,403,210,208,0,99,7,92,52,40,33,Bethel Census Area,0,0,D,304,64,14,19,183,0.464788732,0.070422535,0.464788732,0.033492823,0.956937799,0.258514592
38-842, Newtok,413,38,74,6,30,105,NA,D,1235.49,354,1622,-1268,-0.7818,354,10,0,340,1,0,0,3,1,343,197,157,0,72,2,70,59,11,44,Bethel Census Area,0,0,D,222,39,10,31,124,0.672727273,0.054545455,0.272727273,0.028248588,0.960451977,0.286525994
38-820, Goodnews Bay,406,38,46,13,16,72,NA,D,2020.99,311,1622,-1311,-0.8083,311,21,0,284,1,0,0,5,4,289,176,135,7,120,25,95,51,44,99,Bethel Census Area,0,0,D,209,26,36,33,91,0.613333333,0.173333333,0.213333333,0.067524116,0.91318328,0.153884977
38-806, Atmautluak,357,38,35,5,14,52,NA,D,848.65,277,1622,-1345,-0.8292,277,4,2,271,0,0,0,0,0,271,132,145,0,72,9,63,51,12,51,Bethel Census Area,0,0,D,132,54,7,14,48,0.648148148,0.092592593,0.259259259,0.014440433,0.97833935,0.326400754
38-834, Marshall,363,38,50,21,13,82,NA,D,1250.3,417,1622,-1205,-0.7429,417,11,0,395,1,0,0,10,1,405,219,198,0,117,16,101,63,38,82,Wade Hampton Census Area,0,0,D,220,60,22,16,110,0.595238095,0.25,0.154761905,0.026378897,0.947242206,0.333519955
38-804, Aniak,402,38,80,43,8,108,NA,D,5626.1,513,1622,-1109,-0.6837,513,107,1,354,0,0,1,50,6,404,270,243,0,278,108,170,108,62,136,Bethel Census Area,0,0,D,345,42,76,53,157,0.610687023,0.328244275,0.061068702,0.208576998,0.69005848,0.091182169
38-850, Russian Mission,365,38,33,21,39,81,NA,D,900.99,329,1622,-1293,-0.7972,329,15,0,310,0,0,0,4,0,314,178,151,0,116,37,79,56,23,56,Wade Hampton Census Area,0,0,D,217,23,26,42,108,0.35483871,0.225806452,0.419354839,0.045592705,0.94224924,0.365153886
38-856, Tuntutuliak,419,38,59,14,19,87,NA,D,520.28,408,1622,-1214,-0.7485,408,12,0,391,0,0,0,5,0,396,216,192,0,106,10,96,59,37,45,Bethel Census Area,0,0,D,217,36,8,70,89,0.641304348,0.152173913,0.206521739,0.029411765,0.958333333,0.784193127
38-810,Bethel No. 2,404,38,365,177,65,496,NA,D,24.33,2608,1622,986,0.6079,2608,754,34,1525,58,22,23,192,78,1689,1384,1224,283,1003,213,790,390,400,62,Bethel Census Area,0,0,D,1793,404,255,253,788,0.601317957,0.291598023,0.10708402,0.289110429,0.584739264,107.1927661
38-838, Napakiak,412,38,60,28,4,86,NA,D,246.17,424,1622,-1198,-0.7386,424,12,0,408,1,0,0,3,0,411,228,196,0,158,47,111,90,21,68,Bethel Census Area,0,0,D,234,76,18,26,106,0.652173913,0.304347826,0.043478261,0.028301887,0.962264151,1.722386968
38-830, Kwigillingok,409,38,40,24,9,73,NA,D,357.72,321,1622,-1301,-0.8021,321,11,0,305,0,0,0,5,0,310,169,152,2,106,24,82,50,32,17,Bethel Census Area,0,0,D,238,69,20,27,118,0.547945205,0.328767123,0.123287671,0.034267913,0.950155763,0.897349883
39-946, Teller,442,39,33,15,9,61,NA,D,4795.38,254,1622,-1368,-0.8434,254,32,1,221,0,0,0,0,3,221,137,117,24,122,49,73,22,51,247,Nome Census Area,1,0,D,166,35,25,33,64,0.578947368,0.263157895,0.157894737,0.125984252,0.87007874,0.052967648
39-950, Wales,444,39,20,4,16,34,NA,D,1184.31,149,1622,-1473,-0.9081,149,11,0,125,0,0,0,13,0,138,86,63,4,60,17,43,19,24,50,Nome Census Area,1,0,D,103,31,7,13,46,0.5,0.1,0.4,0.073825503,0.838926174,0.125811654
39-930, Pilot Station,372,39,95,13,34,132,NA,D,2.25,568,1622,-1054,-0.6498,568,10,0,557,0,0,0,1,0,558,295,273,0,137,16,121,95,26,19,Wade Hampton Census Area,1,0,D,345,43,33,50,187,0.669014085,0.091549296,0.23943662,0.017605634,0.980633803,252.4444444
39-908, Elim,427,39,42,27,19,91,NA,D,460.11,330,1622,-1292,-0.7965,330,24,0,296,1,0,0,9,1,305,182,148,0,113,24,89,47,42,49,Nome Census Area,1,0,D,191,52,26,36,63,0.477272727,0.306818182,0.215909091,0.072727273,0.896969697,0.717219795
39-324, Ruby,370,39,35,10,5,39,NA,D,2560.97,172,1622,-1450,-0.894,172,12,0,147,3,0,0,10,1,157,95,77,0,131,67,64,46,18,52,Yukon-Koyukuk Census Area,1,0,D,118,20,16,12,58,0.7,0.2,0.1,0.069767442,0.854651163,0.067162052
39-948, Unalakleet,443,39,127,79,30,228,NA,D,2140.19,688,1622,-934,-0.5758,688,103,4,532,4,0,1,44,7,574,371,317,0,352,127,225,138,87,109,Nome Census Area,1,0,D,558,113,68,91,253,0.538135593,0.334745763,0.127118644,0.149709302,0.773255814,0.321466786
39-952, White Mountain,445,39,31,16,9,58,NA,D,2654.91,190,1622,-1432,-0.8829,190,23,0,155,0,0,0,12,2,167,109,81,0,127,62,65,46,19,164,Nome Census Area,1,0,D,134,22,17,25,62,0.553571429,0.285714286,0.160714286,0.121052632,0.815789474,0.071565514
