state,county,tract,P0010001,P0030002,P0050003,P0040003,P0030004,P0060004,P0030005,P0030003,state,county,tract,geoid,tot_pop,pr_white,pr_hisp_lat,pr_native,pr_native+,pr_asian,pr_black_afr_am
02,020,000101,5736,4951,4822,209,295,510,73,57,02,020,000101,02020000101,5736,0.8631450488145049,0.03643654114365411,0.05142956764295677,0.08891213389121339,0.012726638772663878,0.00993723849372385
02,020,000102,5259,4391,4287,201,286,551,121,48,02,020,000102,02020000102,5259,0.8349496101920517,0.03822019395322305,0.05438296254040692,0.10477277048868607,0.023008176459402927,0.00912721049629207
02,020,000201,4110,3281,3106,292,215,388,107,131,02,020,000201,02020000201,4110,0.7982968369829684,0.07104622871046229,0.052311435523114354,0.09440389294403893,0.026034063260340634,0.03187347931873479
02,020,000202,5947,4987,4775,349,265,467,155,97,02,020,000202,02020000202,5947,0.838574070960148,0.05868505128636287,0.044560282495375816,0.07852698839751135,0.02606356145955944,0.016310744913401714
02,020,000203,10549,9071,8702,592,248,464,296,289,02,020,000203,02020000203,10549,0.8598919328846336,0.05611906341833349,0.023509337377950516,0.043985211868423545,0.028059531709166745,0.027395961702531047
02,020,000204,3381,2873,2804,125,188,278,60,56,02,020,000204,02020000204,3381,0.84974859509021,0.03697131026323573,0.05560485063590653,0.08222419402543626,0.01774622892635315,0.016563146997929608
02,020,000300,8000,5955,5363,1060,124,251,154,971,02,020,000300,02020000300,8000,0.744375,0.1325,0.0155,0.031375,0.01925,0.121375
02,020,000400,5937,4662,4272,663,44,139,137,565,02,020,000400,02020000400,5937,0.7852450732693279,0.11167256189994947,0.00741115041266633,0.023412497894559542,0.023075627421256528,0.09516590870810174
02,020,000500,1988,1034,948,247,163,250,311,130,02,020,000500,02020000500,1988,0.5201207243460765,0.12424547283702213,0.08199195171026157,0.12575452716297786,0.15643863179074446,0.06539235412474849
02,020,000600,7747,2101,1860,921,1297,1838,1356,1069,02,020,000600,02020000600,7747,0.27120175551826514,0.11888472957273784,0.16741964631470246,0.2372531302439654,0.17503549761197884,0.13798889892861754
02,020,000701,5949,3119,2858,666,606,950,501,771,02,020,000701,02020000701,5949,0.5242897966044714,0.11195158850226929,0.10186585980837115,0.15969070432005378,0.08421583459404942,0.129601613716591
02,020,000702,5107,2640,2428,455,462,740,444,683,02,020,000702,02020000702,5107,0.5169375367143136,0.08909340121401997,0.0904640689250049,0.1448991580184061,0.08693949481104367,0.13373800665752889
02,020,000703,5706,2609,2409,449,754,1084,898,589,02,020,000703,02020000703,5706,0.4572379950928847,0.07868909919383106,0.1321416053277252,0.18997546442341395,0.15737819838766212,0.10322467577988083
02,020,000801,7323,2938,2697,852,808,1270,1129,770,02,020,000801,02020000801,7323,0.40120169329509764,0.11634575993445309,0.11033729345896491,0.17342619145159088,0.15417178751877647,0.10514816332104329
02,020,000802,4407,2083,1984,402,514,723,517,504,02,020,000802,02020000802,4407,0.4726571363739505,0.09121851599727705,0.11663262990696618,0.1640571817562968,0.11731336510097572,0.11436351259360109
02,020,000901,4906,1699,1504,564,1026,1420,523,633,02,020,000901,02020000901,4906,0.34631064003261314,0.11496127191194455,0.2091316754993885,0.289441500203832,0.1066041581736649,0.12902568283734203
02,020,000902,3141,1459,1380,279,247,425,304,473,02,020,000902,02020000902,3141,0.4645017510347023,0.08882521489971347,0.07863737663164597,0.13530722699777142,0.09678446354664119,0.15058898439987264
02,020,001000,4131,2375,2222,312,667,901,242,299,02,020,001000,02020001000,4131,0.5749213265553135,0.07552650689905592,0.16146211571048172,0.21810699588477367,0.05858145727426773,0.07237956911159525
02,020,001100,940,620,593,63,150,171,39,67,02,020,001100,02020001100,940,0.6595744680851063,0.06702127659574468,0.1595744680851064,0.1819148936170213,0.04148936170212766,0.07127659574468086
02,020,001200,3718,3270,3182,135,105,187,101,51,02,020,001200,02020001200,3718,0.8795051102743411,0.036309844002151696,0.028240989779451317,0.05029585798816568,0.027165142549757933,0.013717052178590641
02,020,001300,3059,2665,2594,126,98,160,84,24,02,020,001300,02020001300,3059,0.8711997384766264,0.041189931350114416,0.032036613272311214,0.05230467473030402,0.02745995423340961,0.007845701209545603
02,020,001400,5224,2918,2733,530,633,951,477,313,02,020,001400,02020001400,5224,0.5585758039816233,0.10145482388973966,0.12117151607963246,0.18204441041347627,0.0913093415007657,0.059915773353751915
02,020,001500,5104,3776,3643,232,311,487,293,252,02,020,001500,02020001500,5104,0.7398119122257053,0.045454545454545456,0.06093260188087774,0.0954153605015674,0.057405956112852666,0.0493730407523511
02,020,001601,4092,2472,2352,341,375,606,323,249,02,020,001601,02020001601,4092,0.6041055718475073,0.08333333333333333,0.09164222873900293,0.14809384164222875,0.07893450635386119,0.06085043988269795
02,020,001602,4224,2709,2608,253,482,705,233,244,02,020,001602,02020001602,4224,0.6413352272727273,0.059895833333333336,0.11410984848484848,0.1669034090909091,0.05516098484848485,0.05776515151515151
02,020,001701,6843,4424,4221,437,499,815,433,600,02,020,001701,02020001701,6843,0.6465000730673681,0.06386087973111208,0.07292123337717375,0.1190998100248429,0.06327634078620488,0.08768084173608066
