state,county,tract,block group,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block group,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
28,001,000100,1,3513,2197,999,1839,28,680,513,28,001,000100,1,280010001001,3513,0.6253914033589525,0.5234842015371477,0.007970395673213778,0.19356675206376317,0.14602903501280956
28,001,000100,2,1579,952,944,23,3,590,456,28,001,000100,2,280010001002,1579,0.6029132362254591,0.014566181127295756,0.0018999366687777073,0.3736542115262825,0.2887903736542115
28,001,000100,3,1396,668,661,32,4,681,442,28,001,000100,3,280010001003,1396,0.4785100286532951,0.022922636103151862,0.0028653295128939827,0.4878223495702006,0.3166189111747851
28,001,000100,4,1114,924,922,2,1,178,412,28,001,000100,4,280010001004,1114,0.829443447037702,0.0017953321364452424,0.0008976660682226212,0.15978456014362658,0.36983842010771995
28,001,000200,1,1353,422,420,10,0,913,468,28,001,000200,1,280010002001,1353,0.31189948263118994,0.007390983000739098,0.0,0.6747967479674797,0.3458980044345898
28,001,000200,2,1127,225,207,23,0,882,358,28,001,000200,2,280010002002,1127,0.19964507542147295,0.02040816326530612,0.0,0.782608695652174,0.31765749778172137
28,001,000200,3,1646,17,17,4,0,1615,502,28,001,000200,3,280010002003,1646,0.010328068043742407,0.002430133657351154,0.0,0.9811664641555286,0.30498177399756987
28,001,000300,1,1000,73,70,10,1,921,239,28,001,000300,1,280010003001,1000,0.073,0.01,0.001,0.921,0.239
28,001,000300,2,607,2,2,3,0,601,149,28,001,000300,2,280010003002,607,0.0032948929159802307,0.004942339373970346,0.0,0.9901153212520593,0.24546952224052718
28,001,000300,3,480,3,3,5,0,473,157,28,001,000300,3,280010003003,480,0.00625,0.010416666666666666,0.0,0.9854166666666667,0.32708333333333334
28,001,000400,1,1032,28,28,7,0,985,147,28,001,000400,1,280010004001,1032,0.027131782945736434,0.006782945736434108,0.0,0.9544573643410853,0.14244186046511628
28,001,000400,2,910,9,8,8,4,883,248,28,001,000400,2,280010004002,910,0.00989010989010989,0.008791208791208791,0.004395604395604396,0.9703296703296703,0.2725274725274725
28,001,000400,3,1266,27,27,1,0,1222,114,28,001,000400,3,280010004003,1266,0.02132701421800948,0.0007898894154818325,0.0,0.9652448657187994,0.09004739336492891
28,001,000500,1,710,354,352,28,0,320,171,28,001,000500,1,280010005001,710,0.49859154929577465,0.03943661971830986,0.0,0.4507042253521127,0.24084507042253522
28,001,000500,2,846,242,239,15,2,589,248,28,001,000500,2,280010005002,846,0.2860520094562648,0.01773049645390071,0.002364066193853428,0.6962174940898345,0.29314420803782504
28,001,000500,3,745,352,351,1,0,389,251,28,001,000500,3,280010005003,745,0.47248322147651006,0.0013422818791946308,0.0,0.5221476510067115,0.33691275167785234
28,001,000500,4,635,288,286,16,9,306,187,28,001,000500,4,280010005004,635,0.45354330708661417,0.025196850393700787,0.014173228346456693,0.4818897637795276,0.29448818897637796
28,001,000500,5,671,277,272,6,3,381,130,28,001,000500,5,280010005005,671,0.4128166915052161,0.00894187779433681,0.004470938897168405,0.5678092399403875,0.19374068554396423
28,001,000600,1,634,340,339,7,3,280,143,28,001,000600,1,280010006001,634,0.5362776025236593,0.011041009463722398,0.00473186119873817,0.4416403785488959,0.22555205047318613
28,001,000600,2,1021,509,503,6,1,496,311,28,001,000600,2,280010006002,1021,0.49853085210577863,0.005876591576885406,0.0009794319294809011,0.48579823702252695,0.3046033300685602
28,001,000600,3,556,377,371,7,0,168,186,28,001,000600,3,280010006003,556,0.6780575539568345,0.012589928057553957,0.0,0.302158273381295,0.3345323741007194
28,001,000700,1,650,294,294,9,1,342,187,28,001,000700,1,280010007001,650,0.4523076923076923,0.013846153846153847,0.0015384615384615385,0.5261538461538462,0.2876923076923077
28,001,000700,2,1133,783,766,24,8,325,368,28,001,000700,2,280010007002,1133,0.6910856134157105,0.02118270079435128,0.00706090026478376,0.2868490732568402,0.324801412180053
28,001,000800,1,947,125,123,6,0,803,184,28,001,000800,1,280010008001,947,0.13199577613516367,0.006335797254487857,0.0,0.8479408658922915,0.19429778247096094
28,001,000800,2,569,203,201,3,0,355,187,28,001,000800,2,280010008002,569,0.35676625659050965,0.005272407732864675,0.0,0.6239015817223199,0.3286467486818981
28,001,000800,3,1389,578,578,4,17,786,405,28,001,000800,3,280010008003,1389,0.41612670986321093,0.0028797696184305254,0.012239020878329733,0.5658747300215983,0.2915766738660907
28,001,000800,4,551,268,268,0,1,277,181,28,001,000800,4,280010008004,551,0.4863883847549909,0.0,0.0018148820326678765,0.5027223230490018,0.32849364791288566
28,001,000900,1,1080,925,921,8,18,120,411,28,001,000900,1,280010009001,1080,0.8564814814814815,0.007407407407407408,0.016666666666666666,0.1111111111111111,0.38055555555555554
28,001,000900,2,1339,914,902,15,12,394,289,28,001,000900,2,280010009002,1339,0.6825989544436146,0.011202389843166542,0.008961911874533234,0.29424943988050783,0.21583271097834206
28,001,000900,3,849,732,730,6,9,99,320,28,001,000900,3,280010009003,849,0.8621908127208481,0.007067137809187279,0.01060070671378092,0.1166077738515901,0.37691401648998824
28,001,000900,4,949,685,681,22,2,233,259,28,001,000900,4,280010009004,949,0.7218124341412012,0.023182297154899896,0.002107481559536354,0.24552160168598525,0.27291886195995785
28,003,950100,1,1568,1505,1493,24,10,18,530,28,003,950100,1,280039501001,1568,0.9598214285714286,0.015306122448979591,0.006377551020408163,0.011479591836734694,0.3380102040816326
