state,county,tract,block,P0010001,P0030002,P0050003,P0040003,P0030005,P0030003,H0160002,state,county,tract,block,geoid,tot_pop,pr_white,pr_hisp_lat,pr_asian,pr_black_afr_am,prop_owner_occ
36,103,110101,2010,33,33,32,1,0,0,11,36,103,110101,2010,361031101012010,33,1.0,0.030303030303030304,0.0,0.0,0.3333333333333333
36,103,110101,2011,17,17,17,0,0,0,6,36,103,110101,2011,361031101012011,17,1.0,0.0,0.0,0.0,0.35294117647058826
36,103,110101,2012,0,0,0,0,0,0,0,36,103,110101,2012,361031101012012,0,0.0,0.0,0.0,0.0,0.0
36,103,110101,2013,37,35,35,0,2,0,12,36,103,110101,2013,361031101012013,37,0.9459459459459459,0.0,0.05405405405405406,0.0,0.32432432432432434
36,103,110101,2014,13,13,13,0,0,0,6,36,103,110101,2014,361031101012014,13,1.0,0.0,0.0,0.0,0.46153846153846156
36,103,110101,2015,0,0,0,0,0,0,0,36,103,110101,2015,361031101012015,0,0.0,0.0,0.0,0.0,0.0
36,103,110101,2016,32,31,31,0,0,0,11,36,103,110101,2016,361031101012016,32,0.96875,0.0,0.0,0.0,0.34375
36,103,110101,2017,0,0,0,0,0,0,0,36,103,110101,2017,361031101012017,0,0.0,0.0,0.0,0.0,0.0
36,103,110101,2018,0,0,0,0,0,0,0,36,103,110101,2018,361031101012018,0,0.0,0.0,0.0,0.0,0.0
36,103,110101,2019,596,574,548,26,12,0,163,36,103,110101,2019,361031101012019,596,0.9630872483221476,0.0436241610738255,0.020134228187919462,0.0,0.27348993288590606
36,103,110101,2020,28,28,28,0,0,0,10,36,103,110101,2020,361031101012020,28,1.0,0.0,0.0,0.0,0.35714285714285715
36,103,110101,2021,44,44,41,3,0,0,12,36,103,110101,2021,361031101012021,44,1.0,0.06818181818181818,0.0,0.0,0.2727272727272727
36,103,110101,2022,35,33,33,0,1,1,12,36,103,110101,2022,361031101012022,35,0.9428571428571428,0.0,0.02857142857142857,0.02857142857142857,0.34285714285714286
36,103,110101,2023,39,38,38,0,0,1,12,36,103,110101,2023,361031101012023,39,0.9743589743589743,0.0,0.0,0.02564102564102564,0.3076923076923077
