state,county,tract,P0010001,P0030002,P0050003,P0040003,P0070006,P0030005,P0030003,H0160002,state,county,tract,geoid,prop_white,prop_white_not_hisp,prop_hisp_lat,prop_cambodian,prop_asian,prop_black_afr_am,prop_owner_occ
25,017,300100,3074,2986,2954,57,23,10,12,1014,25,017,300100,25017300100,0.9713728041639558,0.9609629147690306,0.018542615484710475,0.007482108002602472,0.0032530904359141183,0.003903708523096942,0.3298633702016916
25,017,301101,4024,3845,3781,91,65,49,36,1223,25,017,301101,25017301101,0.9555168986083499,0.9396123260437376,0.022614314115308152,0.016153081510934395,0.012176938369781311,0.008946322067594433,0.3039264413518887
25,017,301102,4902,4779,4725,72,39,26,20,1553,25,017,301102,25017301102,0.9749082007343941,0.9638922888616891,0.014687882496940025,0.00795593635250918,0.005303957568339453,0.004079967360261118,0.3168094655242758
25,017,310100,5267,3526,2854,1402,333,299,566,526,25,017,310100,25017310100,0.6694513005505981,0.5418644389595595,0.26618568445035123,0.06322384659198785,0.056768558951965066,0.10746155306626162,0.099867097019176
25,017,310200,5976,4238,3720,1113,508,455,524,1170,25,017,310200,25017310200,0.7091700133868809,0.6224899598393574,0.18624497991967873,0.08500669344042838,0.07613788487282463,0.08768406961178045,0.19578313253012047
25,017,310300,6016,3983,3322,1415,554,504,614,1072,25,017,310300,25017310300,0.6620678191489362,0.5521941489361702,0.23520611702127658,0.0920877659574468,0.08377659574468085,0.10206117021276596,0.17819148936170212
25,017,310400,3245,1877,1371,1123,439,429,286,428,25,017,310400,25017310400,0.5784283513097073,0.4224961479198767,0.3460708782742681,0.1352850539291217,0.13220338983050847,0.08813559322033898,0.13189522342064716
25,017,310500,3449,2423,2231,433,511,485,233,508,25,017,310500,25017310500,0.7025224702812409,0.6468541606262684,0.12554363583647435,0.1481588866338069,0.14062046970136272,0.06755581327921137,0.14728906929544797
25,017,310601,5746,4226,3876,611,920,869,270,1357,25,017,310601,25017310601,0.7354681517577445,0.6745562130177515,0.10633484162895927,0.16011138183083884,0.15123564218586844,0.04698920988513749,0.2361642882004873
25,017,310602,5825,4356,4076,567,741,694,361,1296,25,017,310602,25017310602,0.7478111587982833,0.6997424892703863,0.09733905579399142,0.12721030042918455,0.11914163090128756,0.06197424892703863,0.2224892703862661
